ax,ay,az,
48,8292,13712,
76,8336,13648,
124,8368,13604,
120,8348,13700,
160,8376,13532,
180,8292,13612,
28,8288,13548,
136,8356,13564,
44,8272,13732,
8,8260,13728,
56,8192,13616,
32,8276,13564,
32,8248,13556,
92,8332,13644,
48,8332,13660,
60,8344,13620,
52,8300,13620,
80,8300,13612,
192,8388,13532,
188,8264,13616,
48,8188,13620,
128,8280,13500,
124,8296,13576,
88,8312,13580,
104,8268,13600,
20,8284,13556,
56,8296,13500,
120,8284,13488,
120,8272,13652,
128,8304,13552,
216,8348,13512,
192,8348,13432,
96,8268,13612,
184,8288,13612,
188,8352,13636,
124,8276,13620,
148,8260,13708,
12,8328,13696,
64,8312,13588,
28,8304,13628,
132,8316,13716,
172,8392,13628,
224,8340,13660,
236,8292,13648,
52,8408,13676,
52,8356,13664,
48,8416,13696,
28,8416,13664,
76,8368,13648,
216,8364,13648,
164,8352,13580,
88,8248,13568,
148,8320,13684,
156,8272,13560,
88,8240,13516,
128,8248,13620,
164,8344,13820,
184,8340,13660,
48,8368,13652,
104,8352,13792,
148,8352,13556,
148,8280,13544,
120,8356,13564,
96,8356,13548,
92,8320,13628,
164,8332,13536,
4,8296,13536,
96,8312,13504,
84,8272,13632,
188,8276,13792,
164,8244,13652,
100,8200,13604,
76,8300,13724,
160,8268,13728,
76,8356,13512,
116,8300,13648,
272,8244,13588,
180,8308,13532,
180,8268,13516,
168,8276,13704,
228,8276,13724,
92,8324,13512,
32,8236,13512,
108,8232,13560,
244,8340,13580,
160,8296,13600,
116,8268,13664,
148,8328,13744,
152,8236,13760,
100,8240,13776,
100,8244,13732,
72,8268,13456,
148,8180,13468,
164,8308,13600,
164,8396,13532,
120,8400,13544,
176,8400,13616,
36,8340,13784,
4,8252,13752,
136,8364,13752,
148,8308,13828,
124,8288,13768,
128,8260,13708,
108,8248,13600,
76,8220,13684,
136,8324,13688,
48,8308,13580,
140,8332,13620,
36,8336,13664,
88,8232,13640,
88,8368,13720,
148,8328,13732,
136,8368,13604,
256,8368,13660,
232,8308,13660,
160,8304,13660,
104,8300,13696,
104,8204,13584,
156,8324,13480,
184,8356,13620,
180,8316,13740,
160,8304,13764,
12,8364,13648,
72,8308,13524,
24,8252,13600,
116,8356,13700,
72,8256,13704,
72,8184,13640,
88,8236,13660,
76,8236,13604,
96,8288,13636,
116,8228,13636,
120,8320,13536,
108,8272,13432,
64,8348,13520,
4,8292,13556,
148,8316,13512,
88,8300,13688,
40,8292,13664,
68,8220,13700,
180,8244,13660,
108,8372,13600,
16,8320,13560,
16,8316,13672,
8,8212,13704,
144,8352,13636,
168,8352,13680,
104,8308,13640,
124,8272,13640,
152,8308,13672,
72,8340,13532,
224,8380,13736,
240,8200,13688,
168,8344,13664,
104,8332,13684,
52,8372,13732,
116,8292,13676,
120,8368,13552,
172,8364,13568,
148,8316,13520,
148,8244,13528,
96,8268,13652,
140,8268,13732,
116,8308,13664,
96,8228,13664,
136,8260,13712,
88,8288,13832,
100,8368,13716,
104,8292,13636,
148,8284,13668,
100,8280,13696,
24,8344,13572,
88,8260,13628,
144,8228,13540,
84,8328,13636,
80,8340,13636,
80,8312,13636,
40,8228,13568,
104,8228,13692,
168,8240,13636,
52,8324,13612,
164,8280,13612,
180,8332,13772,
48,8336,13700,
36,8340,13572,
124,8288,13464,
224,8296,13524,
184,8324,13700,
76,8336,13768,
36,8332,13696,
112,8400,13688,
68,8336,13768,
136,8312,13656,
136,8372,13684,
128,8292,13704,
96,8292,13796,
40,8308,13684,
144,8296,13684,
132,8304,13656,
104,8280,13708,
112,8268,13676,
124,8244,13708,
252,8284,13596,
176,8304,13688,
128,8256,13736,
48,8296,13732,
