ax,ay,az,label
900,15032,5520,
964,15008,5576,
1068,14980,5332,
988,14996,5276,
936,15092,5300,
980,15124,5464,
980,15084,5544,
1112,15068,5580,
1080,15068,5368,
1012,15040,5416,
1064,15140,5416,
1216,15128,5412,
1280,15232,5496,
1228,15212,5584,
1104,15164,5564,
1032,15116,5836,
1156,15236,5796,
1080,15208,5716,
1084,15232,5728,
1008,15252,5748,
980,15200,5688,
860,15180,5708,
860,15340,5692,
936,15320,5844,
1000,15320,5764,
1016,15356,5628,
1040,15408,5628,
1084,15472,5696,
1100,15456,5800,
968,15428,5852,
932,15364,6152,
876,15364,6068,
864,15332,5864,
888,15328,5848,
768,15384,5872,
836,15384,6092,
852,15324,6092,
912,15248,6020,
912,15352,6084,
832,15372,6040,
720,15372,6188,
856,15492,6300,
912,15468,6300,
900,15492,6268,
956,15508,6280,
912,15348,6172,
924,15408,6260,
864,15400,6240,
788,15436,6188,
952,15392,6184,
900,15348,6072,
852,15420,6064,
892,15568,6252,
892,15476,6372,
876,15356,6452,
788,15356,6252,
712,15336,6140,
480,15256,6292,
524,15356,6292,
592,15392,6300,
600,15496,6320,
600,15496,6340,
700,15528,6352,
620,15520,6348,
592,15488,6292,
528,15520,6220,
584,15476,6300,
620,15520,6400,
572,15548,6292,
572,15604,6260,
536,15580,6300,
720,15580,6276,
660,15664,6300,
628,15688,6300,
644,15680,6308,
680,15608,6316,
676,15672,6280,
632,15708,6364,
588,15672,6364,
496,15720,6420,
356,15792,6260,
368,15748,6192,
328,15788,6180,
328,15704,6304,
316,15756,6308,
316,15700,6156,
324,15700,6228,
388,15700,6308,
316,15700,6356,
388,15624,6356,
432,15664,6288,
376,15800,6372,
332,15796,6308,
388,15816,6384,
536,15708,6364,
492,15796,6276,
440,15744,6196,
404,15816,6300,
336,15820,6232,
412,15828,6352,
440,15972,6184,
440,15876,6236,
372,15868,6292,
384,15868,6180,
396,15892,6212,
360,16000,6212,
516,15936,6212,
536,15976,5968,
564,16072,6040,
552,16052,6200,
436,15984,6172,
300,15940,6076,
256,15896,6020,
324,15932,6008,
308,16052,5928,
240,15976,5920,
300,15836,5848,
300,15912,5780,
368,16044,5780,
384,16044,5856,
340,16052,5808,
272,16016,5808,
260,15968,5700,
188,15928,5564,
300,15892,5696,
384,15928,5840,
440,15828,5772,
548,15904,5452,
604,16100,5464,
588,15960,5668,
492,15912,5784,
488,15844,5792,
488,15800,5820,
364,15736,5696,
264,15720,5692,
208,15720,5644,
136,15708,5636,
236,15680,5636,
248,15676,5736,
276,15788,5688,
292,15532,5788,
60,15432,5788,
204,15428,5848,
236,15396,5664,
184,15356,5880,
100,15292,5848,
20,15340,5916,
60,15184,5788,
60,15260,5600,
28,15408,5672,
124,15408,5812,
80,15328,5996,
116,15420,5928,
68,15396,5928,
16,15288,5828,
100,15344,5868,
72,15448,5828,
32,15436,5768,
40,15504,5764,
56,15420,5736,
160,15516,5836,
160,15568,5772,
104,15624,5908,
80,15584,5936,
80,15596,5980,
152,15636,5872,
232,15636,5796,
256,15704,5764,
