ax,ay,az,
1044,14932,7956,
1152,14904,8032,
1216,14908,7992,
1160,14916,7956,
1120,14932,7932,
1120,14852,7904,
1252,14808,7900,
1276,14852,7812,
1160,14852,7892,
1148,14892,7912,
1204,14920,7912,
1136,14812,7836,
1180,14744,7864,
1164,14772,7928,
1208,14816,7896,
1232,14828,7836,
1232,14732,7732,
1216,14712,7824,
1244,14740,7836,
1232,14632,7968,
1300,14648,7884,
1300,14656,7916,
1320,14696,7956,
1272,14652,7864,
1252,14652,7740,
1392,14580,7864,
1300,14532,7864,
1248,14632,8008,
1252,14616,7904,
1244,14604,7856,
1300,14528,8000,
1296,14572,7880,
1360,14568,7880,
1208,14560,7764,
1240,14552,7880,
1308,14564,7920,
1352,14636,8024,
1352,14560,7920,
1352,14524,7948,
1292,14572,7988,
1280,14572,7892,
1268,14608,7892,
1240,14608,7892,
1268,14596,7984,
1304,14548,7948,
1352,14548,7976,
1368,14460,7936,
1272,14484,7968,
1276,14684,8000,
1288,14700,8020,
1316,14644,8000,
1284,14556,8072,
1372,14536,7976,
1372,14580,8056,
1332,14536,8176,
1380,14536,8192,
1332,14524,8248,
1348,14656,8300,
1408,14616,8300,
1328,14604,8172,
1280,14580,8104,
1336,14568,8136,
1324,14556,8096,
1416,14596,8240,
1388,14652,8288,
1356,14668,8420,
1400,14732,8180,
1412,14788,8108,
1500,14748,8208,
1500,14632,8252,
1420,14724,8208,
1412,14724,8376,
1280,14696,8240,
1320,14664,8176,
1332,14728,8176,
1256,14768,8128,
1332,14760,8192,
1276,14752,8288,
1224,14744,8416,
1248,14744,8320,
1396,14784,8248,
1352,14752,8228,
1404,14736,8236,
1424,14724,8200,
1232,14824,8136,
1232,14800,8216,
1296,14752,8172,
1328,14752,8072,
1200,14668,8100,
1188,14712,8100,
1328,14636,8076,
1276,14732,8032,
1328,14704,8104,
1284,14756,8220,
1396,14664,8056,
1304,14656,8008,
1256,14716,8112,
1248,14692,8280,
1272,14704,8132,
1340,14608,8072,
1224,14556,8160,
1224,14532,8164,
1168,14556,8212,
1228,14556,8100,
1256,14676,8060,
1204,14596,8060,
1148,14548,8148,
1212,14596,8184,
1248,14576,8192,
1204,14664,8120,
1236,14660,8032,
1288,14772,7936,
1248,14792,7940,
1288,14696,7944,
1316,14552,7924,
1276,14572,8088,
1296,14708,8000,
1296,14764,7944,
1160,14604,7792,
1168,14604,7940,
1128,14556,7856,
1060,14668,7856,
1192,14668,7776,
1192,14648,7824,
1200,14712,7764,
1124,14684,7856,
1120,14732,7912,
1128,14796,7932,
1016,14796,7996,
1056,14756,8080,
1072,14616,7824,
1036,14700,7768,
1028,14576,7900,
1028,14560,7916,
1112,14692,7928,
1064,14692,7960,
1016,14756,7908,
1008,14696,7908,
964,14624,7900,
940,14736,7992,
964,14632,8044,
840,14696,7856,
928,14664,7812,
920,14676,7864,
876,14604,7952,
884,14648,7952,
764,14576,7932,
860,14644,7996,
808,14660,7840,
808,14664,7960,
812,14748,7956,
860,14748,8108,
788,14744,8088,
828,14868,8088,
752,14772,8068,
736,14676,8028,
760,14800,7980,
776,14968,7948,
736,14968,7824,
684,14868,7972,
764,14824,7996,
736,14756,7960,
656,14680,7892,
704,14672,7920,
644,14696,7928,
644,14612,8044,
672,14580,7980,
624,14580,8092,
576,14492,8032,
484,14560,8100,
504,14544,8100,
552,14584,8048,
600,14672,8000,
572,14644,7844,
560,14588,7936,
612,14644,7948,
572,14808,7852,
660,14912,7876,
684,14984,7836,
760,15060,7980,
860,15148,8052,
860,15240,8052,
832,15240,8064,
956,15180,7980,
996,15180,8028,
1100,15172,8092,
1056,15184,8092,
1052,15160,8208,
1080,15092,8188,
1128,15120,8116,
1240,15180,8208,
1212,15176,8156,
1252,15216,8132,
1304,15196,8156,
1296,15112,8104,
1272,15024,8120,
1256,14996,8128,
1256,15020,8112,
1256,15012,7912,
1220,14972,8104,
1184,14972,8140,
1304,14996,8060,
1336,15032,8060,
1280,15000,7832,
1232,14972,7656,
1248,14960,7848,
1208,14860,7692,
1184,14844,7788,
1232,14996,7732,
1192,15008,7804,
1108,15016,7804,
1200,15032,7776,
1128,15012,7840,
1128,14928,7996,
1136,14976,7856,
1212,14992,7836,
1120,14992,7856,
1088,15052,7820,
1044,15088,7820,
952,15172,7804,
948,15104,7760,
892,0,7768,
1240,14948,7804,
1240,14896,7740,
1132,14948,7592,
1068,14952,7568,
1132,14952,7764,
1204,14936,7792,
1176,14888,7792,
1036,14852,7688,
1040,14892,7784,
1164,14908,7756,
1156,14904,7788,
1040,14896,7768,
1024,14780,7664,
1048,14828,7628,
1096,14912,7800,
980,14832,7736,
1040,14820,7688,
1040,14900,7600,
1096,14896,7672,
1160,14932,7688,
1088,14932,7660,
1128,14864,7640,
1212,14860,7640,
1076,14876,7648,
1012,14884,7708,
996,14924,7644,
1072,14900,7572,
988,14856,7660,
1064,14908,7848,
1048,14952,7792,
948,14948,7776,
956,14936,7712,
1108,14896,7696,
1024,14876,7592,
1024,14844,7616,
1028,14884,7632,
1044,14884,7660,
976,14876,7800,
1024,14888,7800,
1084,14804,7676,
1116,14784,7764,
1096,14800,7776,
1032,14844,7744,
1028,14864,7932,
1108,14792,8012,
1196,14788,7920,
1152,14808,7848,
1136,14700,7672,
1004,14792,7608,
1004,14740,7716,
1088,14792,7800,
1008,14884,7708,
1108,14884,7768,
1220,14736,7932,
1112,14788,7932,
1140,14712,7780,
1132,14664,7696,
1120,14744,7800,
1156,14776,7884,
1120,14812,7880,
1152,14828,7924,
1160,14840,7924,
1092,14792,7752,
1060,14868,7816,
1088,14848,7824,
1088,14808,7752,
1116,14788,7768,
1164,14828,7820,
1224,14828,7700,
1104,14844,7704,
1056,14860,7704,
1168,14924,7804,
1252,14944,7664,
1084,14836,7584,
1096,14920,7808,
1128,14880,7772,
1248,14884,7712,
1204,14880,7740,
1104,14948,7632,
1044,14932,7724,
984,14868,7652,
984,14932,7712,
1048,14960,7592,
1032,14988,7692,
1108,14988,7816,
1072,14912,7748,
1120,14920,7748,
1100,15016,7568,
1172,15044,7548,
1172,14904,7712,
1168,14884,7696,
1008,14936,7672,
1036,15028,7700,
1104,14948,7788,
1064,14964,7684,
1068,14952,7604,
1152,14896,7748,
1152,14844,7828,
1228,14812,7712,
1152,14856,7720,
1024,14856,7620,
1092,14864,7608,
1120,14860,7608,
1088,14836,7680,
1140,14864,7684,
1052,14920,7612,
1104,14832,7684,
1172,14768,7632,
1092,14852,7660,
1112,14804,7540,
1048,14760,7528,
1128,14816,7600,
