ax,ay,az,label
2892,13804,9408,
2968,13804,9344,
3040,13764,9268,
3004,13724,9256,
2908,13780,9256,
2908,13912,9300,
3008,13876,9268,
3124,13824,9320,
3080,13880,9292,
3068,13960,9232,
3008,13936,9220,
3060,13960,9260,
3008,14048,9292,
3084,13968,9284,
3020,13948,9392,
2968,13924,9208,
2968,13980,9248,
2996,13972,9284,
2980,13972,9192,
2992,13960,9232,
2912,13960,9232,
2872,14000,9216,
2872,13856,9140,
2904,13780,9036,
2904,13788,9052,
2888,13908,8984,
2788,13772,8912,
2808,13780,8808,
2788,13760,8880,
2828,13800,8876,
2676,13868,8852,
2536,13868,8924,
2536,13916,9128,
2552,13952,9124,
2652,13952,9216,
2664,13956,9328,
2612,14000,9328,
2536,14004,9368,
2512,13984,9404,
2616,13972,9480,
2704,14060,9608,
2616,14040,9552,
2588,14048,9504,
2624,14080,9564,
2676,13992,9512,
2720,13956,9400,
2740,13960,9452,
2788,13948,9228,
2788,13984,9152,
2640,13996,9132,
2608,14008,8980,
2596,14008,9024,
2536,14012,9000,
2544,13980,9000,
2572,13952,8888,
2564,13976,8900,
2568,13944,8896,
2576,14016,8836,
2656,13956,8828,
2744,14060,8824,
2800,14040,9048,
2880,14044,9128,
2956,13936,9088,
3076,13964,9032,
3164,13952,9008,
3164,13900,8988,
3236,13956,9052,
3320,13956,9064,
3360,13940,9196,
3428,13956,9196,
3448,13912,9240,
3488,13904,9240,
3532,13904,9216,
3472,13932,9204,
3608,13924,9208,
3560,13856,9148,
3404,13916,9248,
3368,13820,9216,
3396,13864,9188,
3320,13856,9160,
3248,13876,9140,
3248,13900,8872,
3156,13984,9000,
3128,13984,9020,
2980,13968,9116,
2924,13968,9176,
2944,13988,9176,
2936,14044,9164,
2868,14012,9044,
2780,13996,9076,
2800,13972,9136,
2760,14032,9080,
2744,14020,9160,
2792,13936,9056,
2744,13868,8964,
2736,13872,8976,
2792,13836,8936,
2844,13848,9112,
2844,13872,9132,
2732,13844,9004,
2784,13844,9096,
2828,13872,9116,
2672,13856,9116,
2640,13792,9068,
2648,13852,9196,
2728,13860,9164,
2732,13832,9084,
2704,13864,9108,
2684,13864,9104,
2668,13904,9068,
2720,13852,8996,
2812,13856,8980,
2784,13848,9024,
2744,13844,9048,
2744,13820,9116,
2748,13848,9052,
2760,13848,8984,
2744,13800,9084,
2712,13820,9152,
2648,13892,9152,
2832,13912,9100,
2836,13900,9092,
2808,13940,9104,
2756,13912,9088,
2748,13872,9096,
2808,13932,9064,
2804,13856,9076,
2836,14008,9096,
2868,13952,9164,
2804,13952,9112,
2756,14012,9084,
2756,13900,9080,
2804,13952,9296,
2784,13952,9176,
2780,14040,9204,
2860,14108,9204,
2740,14052,9032,
2736,14000,9092,
2756,14036,9140,
2768,14100,9036,
2796,14044,9068,
2784,14028,9148,
2816,13992,9240,
2820,14088,9304,
2712,14108,9128,
2700,14104,9056,
2756,14076,9180,
2756,14016,9212,
2816,13916,9172,
2800,13916,9144,
2664,13988,9212,
2724,14068,9212,
2868,14016,9184,
2856,14016,9288,
2868,14068,9252,
3004,14100,9152,
2860,14100,9188,
2928,14064,9252,
2972,14068,9236,
2920,14100,9220,
2896,14052,9360,
2932,14088,9288,
3080,14040,9172,
3080,14060,9320,
2936,13968,9276,
2980,13956,9228,
3004,13956,9164,
2976,13980,9204,
2996,13984,9204,
2984,14004,9340,
2964,14044,9212,
2932,13976,9176,
3004,14004,9192,
2944,13944,9136,
2940,13960,9084,
2876,14052,9240,
2936,13948,9104,
2940,14064,9112,
2776,14044,9276,
2788,14032,9220,
2788,13956,9304,
2856,13984,9228,
2956,13984,9244,
3012,13996,9208,
2904,14040,9208,
2792,13948,9236,
2868,13976,9168,
2816,14028,9092,
2852,13988,9104,
2840,13920,9196,
2740,13900,9148,
2720,13908,9212,
2864,13848,9212,
2892,13872,9296,
2832,13920,9192,
2696,13896,9132,
2696,13928,9128,
2728,13948,9136,
2832,13948,9108,
2792,13892,9132,
2780,13892,9068,
2736,13948,9068,
2720,13944,9108,
2772,13912,9060,
2816,13932,8996,
2800,13968,9160,
2772,13960,8992,
2776,13848,9052,
2788,13984,9204,
2820,13968,9212,
2904,13932,9016,
2952,13896,8916,
2864,13904,8984,
2864,13812,9076,
2772,13864,9100,
2788,13864,9032,
2900,13964,9004,
2872,14024,9004,
2924,13980,9108,
2808,13968,9136,
2912,13952,9076,
2972,13952,13,
3264,13424,9552,
3316,13548,9596,
3388,13612,9584,
3348,13600,9492,
3272,13544,9568,
3288,13460,9592,
3248,13444,9520,
3256,13544,9552,
3340,13556,9540,
3304,13560,9412,
3304,13588,9376,
3336,13564,9376,
3308,13564,9560,
3360,13616,9572,
3392,13664,9572,
3436,13676,9372,
3476,13656,9476,
3408,13728,9420,
3428,13588,9356,
3436,13560,9488,
3400,13656,9464,
3392,13616,9448,
3348,13568,9416,
3464,13656,9396,
3452,13656,9372,
3460,13676,9348,
3460,13632,9480,
3436,13540,9528,
3480,13540,9316,
3492,13476,9320,
3572,13536,9440,
3568,13520,9440,
3584,13512,9504,
3608,13492,9512,
3488,13448,9632,
3484,13512,9660,
3480,13464,9528,
3560,13540,9472,
3448,13584,9652,
3516,13520,9648,
3424,13508,9652,
3468,13492,9660,
3468,13548,9756,
3404,13592,9616,
3424,13492,9580,
3444,13492,9548,
3408,13516,9632,
3364,13452,9632,
3260,13424,9628,
3264,13456,9676,
3200,13392,9620,
3272,13444,9616,
3256,13456,9672,
3176,13520,9612,
3156,13588,9564,
3192,13460,9380,
3184,13552,9548,
3016,13520,9616,
2988,13588,9452,
2988,13600,9432,
3020,13680,9456,
3140,13680,9332,
3156,13656,9360,
3140,13656,9360,
3096,13616,9404,
3052,13564,9460,
3208,13564,9528,
3144,13584,9388,
3140,13528,9332,
3224,13520,9408,
3232,13664,9424,
3164,13628,9384,
3196,13604,9452,
3184,13652,9472,
3304,13716,9520,
3304,13724,9532,
3296,13640,9496,
3296,13640,9616,
3332,13576,9640,
3464,13604,9640,
3336,13688,9588,
3392,13676,9520,
3468,13632,9348,
3472,13632,9400,
3404,13616,9468,
3464,13624,9248,
3452,13760,9224,
3452,13712,9360,
3480,13692,9320,
3412,13736,9196,
3520,13744,9244,
3520,13724,9176,
3560,13668,9124,
3464,13668,9276,
3524,13764,9312,
3548,13704,9236,
3436,13740,9236,
3360,13680,9308,
3392,13848,9248,
3416,13800,9492,
3416,13736,9456,
3360,13756,9400,
3424,13704,9512,
3488,13664,9540,
3432,13620,9640,
3340,13660,9700,
3372,13640,9708,
3372,13596,9668,
3364,13632,9704,
3324,13632,9676,
3384,13616,9596,
3232,13652,9668,
3232,13600,9668,
3156,13616,9648,
3128,13684,9660,
3152,13664,9660,
3036,13540,9564,
3156,13508,9480,
3052,13516,9508,
3044,13476,9520,
3080,13496,9396,
3200,13544,9424,
3320,13540,9504,
3320,13608,9452,
3208,13596,9592,
3332,13500,9560,
3460,13500,9416,
3448,13400,9288,
3492,13500,9288,
3560,13568,9272,
3632,13428,9404,
3756,13476,9468,
3848,13516,9444,
3840,13536,9392,
3896,13504,9432,
3840,13484,9516,
3924,13504,9468,
4060,13472,9436,
4060,13440,9468,
3960,13416,9564,
3960,13372,9640,
3932,13416,9656,
4008,13416,9612,
3936,13476,9748,
4040,13452,9748,
3916,13400,9660,
3892,13420,9772,
3924,13408,9772,
3888,13412,9652,
3776,13400,9752,
3760,13472,9740,
3772,13416,9640,
3680,13500,9812,
3532,13500,9812,
3476,13544,9728,
3452,13528,9860,
3452,13556,9784,
