ax,ay,az,
36,14580,8396,
60,14504,8456,
96,14504,8528,
144,14484,8516,
116,14552,8516,
60,14492,8564,
144,14428,8592,
188,14428,8580,
204,14400,8516,
156,14452,8588,
236,14452,8520,
140,14420,8392,
76,14396,8692,
76,14436,8652,
108,14460,8444,
204,14472,8512,
204,14456,8616,
76,14384,8732,
68,14384,8608,
220,14428,8760,
232,14320,8760,
208,14456,8708,
148,14492,8716,
112,14408,8660,
140,14364,8632,
64,14392,8664,
64,14428,8800,
128,14404,8724,
124,14468,8544,
104,14480,8568,
172,14448,8592,
124,14452,8676,
124,14432,8720,
92,14424,8676,
52,14424,8716,
104,14440,8696,
44,14388,8640,
172,14460,8640,
120,14516,8580,
88,14464,8568,
72,14356,8576,
72,14368,8576,
100,14480,8488,
92,14536,8516,
140,14452,8676,
128,14524,8768,
168,14460,8596,
152,14492,8564,
152,14488,8452,
120,14504,8772,
52,14404,8784,
0,14404,8732,
84,14332,8704,
96,14428,8704,
168,14564,8684,
136,14560,8688,
64,14440,8600,
36,14460,8656,
80,14496,8644,
72,14460,8584,
64,14424,8664,
108,14476,8716,
52,14468,8736,
20,14396,8612,
108,14500,8656,
108,14596,8692,
64,14532,8676,
28,14532,8788,
24,14492,8628,
32,14416,8628,
44,14376,8700,
36,14440,8484,
16,14396,8552,
68,14368,8592,
12,14428,8568,
12,14464,8684,
40,14472,8628,
92,14420,8592,
40,14460,8756,
88,14428,8800,
24,14508,8716,
24,14464,8768,
56,14480,8696,
16,14456,8700,
8,14456,8760,
88,14412,8668,
156,14408,8668,
164,14380,8668,
112,14440,8696,
112,14560,8668,
36,14504,8524,
32,14448,8660,
216,14372,8616,
160,14368,8704,
112,14396,8760,
48,14464,8660,
124,14356,8628,
24,14316,8620,
24,14416,8656,
12,14464,8568,
48,14464,8616,
36,14436,8740,
24,14508,8740,
32,14424,8792,
32,14456,8888,
16,14440,8796,
24,14484,8664,
52,14464,8732,
92,14408,8736,
52,14364,8844,
