ax,ay,az,
12636,0,11308,
1540,12628,11228,
1532,12604,11188,
1516,12616,11124,
1568,12620,11048,
1456,12688,11208,
1384,12684,11220,
1376,12648,11232,
1436,12664,11176,
1480,12656,11224,
1480,12616,11244,
1476,12652,11180,
1480,12656,11248,
1436,12656,11300,
1372,12700,11188,
1428,12692,11188,
1420,12644,11196,
1364,12636,11208,
1416,12672,11036,
1404,12664,10980,
1380,12688,11152,
1348,12584,11108,
1316,12636,11040,
1296,12652,10960,
1448,12696,10984,
1476,12700,10936,
1492,12616,11076,
1492,12624,11156,
1452,12764,11140,
1360,12764,11072,
1300,12712,11108,
1348,12680,11108,
1300,12640,11304,
1204,12784,11228,
1232,12816,11132,
1320,12724,11108,
1316,12732,11200,
1292,12756,11120,
1352,12696,11076,
1264,12704,11184,
1320,12696,11144,
1308,12776,11264,
1340,12720,11236,
1340,12712,11256,
1348,12768,11128,
1280,12768,11088,
1388,12864,11252,
1364,12788,11252,
1368,12760,11280,
1428,12704,11236,
1420,12688,11324,
1428,12632,11220,
1472,12664,11200,
1412,12612,11280,
1408,12636,11184,
1420,12628,11220,
1456,12624,11232,
1468,12640,11312,
1532,12732,11076,
1532,12672,11120,
1468,12720,11244,
1412,12720,11248,
1432,12696,11244,
1572,12744,11244,
1624,12736,11308,
1652,12676,11192,
1464,12560,11192,
1448,12620,11232,
1560,12724,11204,
1652,12688,11208,
1612,12636,11280,
1524,12688,11288,
1540,12728,11208,
1576,12696,11356,
1604,12712,11228,
1604,12732,11304,
1588,12684,11312,
1624,12684,11252,
1600,12672,11296,
1540,12680,11300,
1596,12696,11300,
1532,12748,11308,
1556,12648,11312,
1576,12664,11268,
1552,12752,11232,
1592,12736,11188,
1516,12700,11188,
1508,12864,11092,
1500,12728,11128,
1572,12736,11068,
1620,12788,10904,
1620,12884,10844,
1532,12832,10944,
1548,12728,10936,
1528,12728,10864,
1600,12792,10944,
1616,12692,10944,
1556,12644,11192,
1444,12684,11020,
1496,12776,11092,
1556,12848,11124,
1436,12844,11176,
1356,12772,11104,
1216,12864,11108,
1248,13008,11116,
1264,12956,11140,
1192,13040,11208,
1140,13028,11220,
1140,13152,11352,
1268,13140,11304,
1292,13140,11520,
1220,13204,11488,
1172,13048,11488,
1184,13088,11436,
1164,13048,11472,
1172,13004,11588,
1216,12908,11588,
1276,12924,11580,
1168,12888,11552,
1216,12812,11516,
1168,12788,11580,
1128,12776,11492,
1168,12812,11440,
1232,12824,11400,
1232,12800,11268,
1224,12676,11108,
1156,12676,11048,
1156,12644,10952,
1184,12704,10952,
1160,12728,10920,
1264,12688,10784,
1264,12648,10680,
1320,12760,10744,
1400,12660,10736,
1348,12712,10788,
1288,12688,10812,
1404,12752,10744,
1420,12728,10876,
1532,12756,10916,
1420,12796,10784,
1420,12856,10940,
1612,12900,11124,
1556,12900,11044,
1400,12768,11052,
1480,12740,11128,
1480,12836,11128,
1488,12832,11112,
1576,12724,11052,
1460,12776,11088,
1576,12856,11140,
1676,12808,11156,
1624,12832,11228,
1656,12868,11164,
1748,12852,11448,
1748,12868,11352,
1724,12860,11392,
1792,12820,11400,
1792,12872,11352,
1720,12828,11292,
1740,12828,11232,
1808,12948,11248,
1796,12904,11248,
1808,12868,11240,
1708,12848,11160,
1708,12708,11160,
1648,12780,11144,
1548,12820,11220,
1496,12828,11316,
1488,12900,11228,
1612,12836,11232,
1512,12844,11304,
1420,12808,11148,
1328,12856,11136,
1328,12832,11112,
1440,12820,11176,
1464,12820,11272,
1400,12844,11204,
1416,12840,11204,
1396,12864,11344,
1420,12840,11204,
1368,12812,11156,
1388,12800,11248,
1464,12844,11416,
1320,12776,11244,
1260,12800,11236,
1272,12808,11384,
1336,12856,11348,
1424,12840,11268,
1316,12908,11236,
1316,12884,11248,
1352,12852,11204,
1348,12852,11208,
1396,12808,11200,
1264,12840,11192,
1404,12792,11192,
1440,12812,11252,
1436,12848,11316,
1388,12836,11280,
1444,12744,11196,
1452,12800,11172,
1384,12888,11220,
1404,12904,11220,
1444,12768,11200,
1380,12760,11124,
1412,12800,11200,
1412,12796,11052,
1404,12832,11164,
1384,12884,11288,
1356,12884,11228,
1352,12816,11272,
1268,12792,11272,
1332,12820,11264,
1328,12804,11060,
1320,12812,11052,
1232,12772,11144,
1240,12748,11188,
1404,12812,11092,
1308,12780,11088,
1436,12736,11084,
1352,12808,11028,
1352,12824,11152,
1332,12748,11148,
1332,22,10096,
944,13412,10136,
960,13384,10168,
948,13368,10152,
920,13384,10176,
896,13392,10260,
976,13364,10408,
1012,13392,10404,
984,13552,10332,
936,13520,10336,
940,13488,10232,
940,13516,10296,
936,13444,10424,
968,13444,10432,
936,13416,10284,
908,13492,10284,
960,13456,10188,
924,13456,10336,
940,13572,10452,
1008,13560,10428,
1008,13652,10552,
1032,13640,10488,
1112,13692,10396,
868,13716,10484,
888,13728,10508,
960,13768,10632,
1008,13800,10536,
1008,13764,10580,
888,13800,10516,
828,13848,10392,
968,13848,10400,
1016,13808,10444,
888,13940,10444,
856,13964,10588,
920,13876,10584,
1008,13804,10572,
1068,13796,10444,
964,13792,10436,
952,13844,10436,
984,13784,10260,
988,13676,10260,
872,13652,10260,
916,13600,10176,
996,13608,10204,
996,13488,10316,
1008,13548,10284,
920,13548,10072,
892,13552,10152,
932,13452,10152,
924,13476,10172,
876,13396,10160,
860,13344,10140,
888,13316,10048,
892,13388,9996,
940,13396,9932,
928,13332,10016,
968,13280,10060,
944,13324,10080,
972,13196,10168,
948,13296,10192,
948,13388,10092,
964,13336,10064,
944,13336,10112,
940,13372,10176,
936,13420,10168,
980,13424,10168,
1096,13540,10240,
980,13568,10228,
908,13604,10320,
912,13684,10220,
992,13736,10160,
1084,13820,10284,
1076,13936,10284,
1080,13944,10152,
1024,13984,10268,
1020,14124,10180,
1020,14164,10080,
972,14140,10268,
852,14224,10200,
852,14224,10272,
916,14152,10220,
812,14180,10220,
816,14312,10240,
876,14320,10216,
948,14380,10088,
860,14340,10096,
764,14276,10128,
760,14300,10104,
720,14312,10120,
844,14276,10176,
860,14176,9984,
784,14096,9944,
828,14104,10036,
828,14052,10024,
748,14072,10140,
592,14072,10208,
744,13924,10128,
852,13848,10128,
740,13804,10028,
668,13784,10208,
812,13592,10388,
692,13564,10256,
796,13468,10152,
764,13380,10124,
688,13280,10144,
760,13188,10436,
804,13144,10412,
788,13088,10460,
716,13052,10484,
716,13072,10588,
788,12968,10276,
788,12968,10376,
768,12880,10428,
764,12784,10368,
776,12784,10368,
784,12828,10408,
824,12836,10396,
840,12672,10344,
896,12696,10348,
908,12820,10376,
864,12732,10268,
920,12860,10292,
892,12888,10244,
932,12796,10096,
996,12940,10300,
1012,12904,10336,
1012,12880,10192,
1008,12936,10216,
944,12936,10232,
868,13000,10164,
872,13024,10164,
928,13052,10252,
1020,12988,10128,
928,13080,10088,
720,13144,10096,
836,13180,10232,
944,13124,10240,
892,13128,10156,
832,13204,10136,
776,13316,10144,
832,13192,10132,
736,13272,10224,
736,13388,10220,
736,13360,10240,
688,13360,10304,
652,13372,10228,
820,13452,10176,
712,13512,10176,
660,13488,10216,
716,13588,10120,
736,13556,10236,
732,13584,10128,
712,13540,10116,
648,13600,10144,
628,13628,10176,
676,13592,10332,
700,13612,10316,
740,13580,10192,
740,13688,10124,
752,13680,9928,
692,13600,9996,
760,13600,10036,
776,13564,10164,
824,13652,10164,
764,13624,10116,
856,13472,9976,
820,13540,10092,
796,13484,9936,
820,13500,10072,
924,13520,10204,
992,13552,10112,
868,13556,10100,
724,13496,10064,
792,13548,9944,
940,13612,9908,
940,13612,9952,
996,13612,9976,
964,13612,9964,
920,13632,9912,
856,13596,9932,
924,13612,9932,
924,13640,9932,
904,13652,10000,
1012,13556,10068,
988,13568,10068,
952,13604,10028,
932,13516,10040,
864,13452,10016,
896,13484,9996,
920,13480,10204,
908,13464,10108,
872,13616,10048,
872,13560,10144,
856,13492,10132,
940,13492,10076,
776,13476,10076,
884,13432,10076,
924,13420,10124,
960,13456,10152,
1000,13492,10036,
940,13540,10176,
920,13604,10256,
928,13596,10100,
848,13568,10108,
916,13528,10080,
780,13420,10040,
928,13564,10004,
856,13524,10024,
856,13508,10120,
844,13612,10012,
868,13612,10016,
956,13616,10160,
956,13616,10156,
924,13632,10156,
880,13684,10212,
872,13664,10188,
848,13576,10048,
908,13620,10076,
976,13704,10116,
1036,13656,10164,
1024,13592,10240,
972,13596,10208,
944,13580,10260,
824,13596,10160,
824,13512,10112,
956,13580,10108,
872,13504,10184,
832,13504,10152,
888,13636,10076,
920,13636,10076,
956,13596,10140,
936,13516,10144,
936,13524,10012,
952,13532,9924,
952,13600,10044,
952,13588,9920,
960,13332,10004,
856,13348,10120,
812,13460,10016,
916,13476,10024,
1004,13484,10092,
1004,13532,10020,
876,13560,10044,
828,13560,10104,
936,13532,10096,
960,13604,10096,
924,13624,10104,
928,13588,10120,
888,13508,10092,
840,13612,9980,
860,13528,9980,
852,13592,9932,
844,13452,10040,
876,13492,10064,
788,13480,10160,
860,13428,10020,
848,13556,9972,
848,13504,10148,
828,13516,10276,
864,13516,10088,
908,13504,9988,
964,13544,10112,
896,13632,10112,
