ax,ay,az,label
472,12948,10796,
416,13132,10712,
400,13204,10796,
400,13160,10848,
408,13076,10928,
352,13076,10908,
420,13232,10880,
584,13228,10880,
488,13236,10736,
480,13300,10876,
568,13320,10920,
548,13344,10840,
508,13360,10880,
656,13356,10916,
636,13328,10972,
588,13444,10936,
560,13476,10848,
616,13408,10916,
628,13312,10772,
628,13352,10884,
536,13388,10896,
572,13388,11020,
480,13368,10924,
508,13228,10924,
628,13204,10992,
604,13180,10996,
652,13132,10956,
680,13076,10992,
664,13016,11044,
660,13000,11216,
672,13020,10960,
660,13000,10912,
708,13096,10908,
816,13132,10928,
728,13076,10864,
728,13068,10900,
864,13056,10964,
840,13056,10872,
840,13032,10876,
920,13056,10876,
864,13104,10932,
880,13072,10992,
880,12948,11076,
904,13108,11112,
800,13152,11124,
856,13052,10996,
932,13072,10940,
932,13096,10972,
892,12992,10900,
712,12936,10880,
792,12992,11088,
792,13008,11120,
776,12936,11172,
804,12936,11272,
728,13012,11128,
828,12984,11128,
796,12968,11096,
812,13036,11104,
972,13044,11208,
908,13060,11152,
760,12920,11148,
728,12912,11268,
632,12884,11268,
600,12852,11064,
576,12816,11184,
520,12744,11188,
576,12832,11264,
576,12796,11204,
612,12812,11240,
568,12812,11272,
556,12940,11360,
532,12876,11360,
660,12960,11336,
572,12992,11168,
468,12880,10908,
396,12828,10852,
484,12780,10956,
444,12712,10940,
320,12728,11192,
312,12688,11200,
304,12616,11216,
360,12608,11216,
412,12628,11352,
412,12536,11172,
460,12628,11352,
452,12628,11320,
440,12672,11320,
400,12740,11280,
528,12864,11280,
588,12988,11260,
460,12920,11324,
480,12996,11272,
524,12992,11164,
572,12912,11256,
416,12920,11248,
388,12840,11320,
516,12900,11172,
564,12736,11096,
480,12616,11176,
480,12560,11136,
520,12632,11264,
484,12632,11380,
492,12544,11424,
560,12576,11480,
732,12676,11480,
688,12704,11444,
708,12600,11348,
752,12644,11336,
808,12696,11368,
708,12644,11320,
796,12692,11404,
824,12648,11352,
860,12544,11240,
816,12524,11340,
760,12576,11288,
760,12552,11228,
760,12584,11404,
748,12584,11412,
828,12560,11368,
836,12664,11448,
828,12696,11448,
840,12688,11372,
720,12768,11496,
824,12704,11464,
800,12836,11464,
700,12868,11428,
740,12708,11340,
836,12720,11396,
800,12832,11492,
680,12896,11604,
700,12840,11540,
700,12716,11368,
752,12704,11400,
800,12788,11396,
732,12788,11396,
664,12732,11272,
748,12672,11272,
780,12712,11324,
764,12744,11344,
856,12740,11300,
888,12652,11360,
788,12636,11248,
812,12592,11168,
900,12576,11192,
968,12572,11184,
908,12676,11332,
952,12652,11500,
952,12812,11348,
1072,12844,11372,
972,12728,11344,
932,12728,11328,
912,12756,11408,
996,12772,11408,
896,12728,11312,
972,12768,11472,
848,12756,11444,
924,12648,11396,
896,12632,11288,
936,12636,11256,
980,12532,11324,
940,12496,11384,
908,12524,11380,
848,12520,11492,
848,12576,11560,
784,12652,11760,
816,12688,11744,
868,12688,11780,
828,12724,11912,
800,12696,11912,
712,12756,11880,
704,12768,11860,
728,12844,11808,
612,12756,12156,
360,12876,12008,
532,13080,11788,
744,13064,11780,
592,12988,11824,
552,12932,11932,
628,13076,11892,
584,13084,11960,
584,12828,12024,
520,12688,11968,
552,12688,11952,
580,12684,11924,
556,12648,11924,
480,12608,11956,
472,12572,11908,
452,12528,11844,
388,12500,11900,
480,12476,11924,
464,12512,11784,
332,12644,11764,
396,12632,11640,
372,12616,11656,
276,12600,11668,
248,12636,11884,
248,12548,11912,
244,12536,12000,
332,12536,12136,
352,12620,12092,
288,12628,12092,
256,12516,12148,
280,12516,12112,
248,12548,12072,
308,12524,12108,
384,12480,12012,
280,12492,11896,
404,12472,12000,
480,12440,11940,
440,12460,11836,
484,12504,11808,
532,12568,11952,
532,12584,11844,
592,12504,11868,
708,12504,11944,
640,12584,11992,
624,12592,11992,
532,12580,12016,
624,12580,11756,
796,12596,11740,
804,12608,11704,
804,12608,7,
8000508,9920,13960,
556,10024,14196,
556,10036,14148,
620,9996,14032,
492,9996,13984,
592,9940,14084,
572,10036,14084,
644,10004,14080,
576,10020,14120,
480,9988,14068,
444,10052,13956,
492,9912,14052,
504,9800,13996,
480,9756,14068,
488,9804,14148,
632,9708,14096,
532,9680,13980,
548,9588,13972,
548,9588,13912,
560,9564,14020,
464,9564,14080,
444,9560,14008,
388,9556,14112,
436,9496,14112,
476,9580,14244,
412,9556,14008,
416,9716,14184,
412,9700,14220,
404,9588,14128,
304,9692,14120,
276,9712,14144,
344,9600,14140,
264,9752,13996,
292,9788,14040,
356,9872,13984,
356,9876,14044,
