ax,ay,az,Label
1444,10916,13260,
1412,10928,13200,
1492,10892,13188,
1564,10896,13072,
1460,10948,13040,
1496,10864,13060,
1400,10824,13212,
1472,10892,13112,
1548,10996,13092,
1580,10984,13328,
1560,10972,13232,
1560,10872,12972,
1548,10896,12916,
1624,10896,13148,
1572,10920,13164,
1500,10892,13164,
1536,10932,13140,
1492,10924,13232,
1648,10900,13188,
1520,10904,13072,
1588,10940,12964,
1648,10892,12940,
1592,10892,12920,
1468,10916,12976,
1452,10896,12996,
1540,10984,12956,
1484,10916,13028,
1484,10928,13016,
1504,10980,13184,
1576,10980,13260,
1584,10936,13184,
1456,11048,13184,
1492,11032,13096,
1476,10952,13108,
1448,10972,13116,
1440,10988,13120,
1512,11064,13120,
1440,10932,13120,
1456,10972,13060,
1600,11088,13012,
1576,11080,12972,
1600,11108,12812,
1632,11060,13052,
1632,10988,12940,
1476,10992,12968,
1540,10992,13016,
1436,11096,12988,
1556,10952,12988,
1608,11064,13024,
1600,10996,13160,
1600,11016,13148,
1700,11040,12964,
1776,10920,12908,
1628,11044,13100,
1652,11040,12968,
1620,11088,13032,
1536,11056,12968,
1588,11008,13028,
1588,10960,12960,
1620,10912,12944,
1604,10916,13008,
1648,10916,12884,
1632,10892,12992,
1628,10948,12992,
1540,10908,13028,
1508,10980,12960,
1580,10896,12896,
1604,10920,12968,
1520,10940,12968,
1596,10908,13004,
1564,11040,13104,
1588,11088,12884,
1556,11008,12992,
1564,10932,12968,
1564,11032,12960,
1532,11028,12944,
1552,11028,12788,
1532,10980,12896,
1544,10920,13020,
1416,10952,13020,
1456,10932,13000,
1500,10868,13016,
1464,10964,12992,
1428,11000,12940,
1392,11056,12960,
1376,11016,13016,
1456,10972,12924,
1460,11072,12832,
1452,10976,13000,
1460,10968,13032,
1460,10988,13040,
1448,11016,13084,
1400,11016,12948,
1456,11076,12940,
1396,11020,12940,
1480,10948,13120,
1424,10960,12836,
1428,10980,12956,
1568,10976,12960,
1548,11020,12988,
1520,11012,12956,
1484,11032,12952,
1432,11016,12952,
1468,11016,12984,
1476,11016,13024,
1360,11004,13004,
1360,10996,12892,
1308,10952,12904,
1488,10952,13056,
1524,10920,13008,
1420,10840,13008,
1456,10908,12992,
1364,10952,12940,
1292,10904,12992,
1344,11032,13020,
1416,10940,12992,
1500,10940,12924,
1364,11048,12944,
1476,11056,13064,
1548,11008,13012,
1532,11032,13004,
1500,11008,12960,
1500,11016,13020,
1636,10992,13120,
1500,10992,13064,
1384,10976,13140,
1376,10880,13140,
1464,10896,13044,
1388,10980,13088,
1416,10924,13088,
1488,11004,13060,
1432,11016,13064,
1364,10988,12920,
1448,11072,12860,
1460,11140,12960,
1556,11180,12964,
1544,11260,12960,
1544,11220,12872,
1568,11180,13024,
1600,11180,12948,
1608,11236,12784,
1428,11276,12820,
1508,11304,12820,
1568,11276,12820,
1612,11332,12836,
1552,11200,12920,
1600,11076,12724,
1520,11004,12800,
1548,10920,12920,
1648,10952,12864,
1564,11064,12864,
1584,11008,12844,
1584,11020,13088,
1584,10984,13176,
1516,10960,13204,
1460,10960,13124,
1380,11000,13152,
1404,11040,13152,
1492,11180,13112,
1480,11208,13132,
1456,11296,13148,
1404,11224,13156,
1392,11184,12960,
1244,11184,13008,
1332,11180,12992,
1340,11152,12740,
1300,11116,12540,
1284,11016,12696,
1360,11144,12844,
1360,11092,12732,
1308,11016,12692,
1304,11016,12716,
1404,11028,12740,
1344,11052,12740,
1552,11028,12740,
1612,11076,12716,
1636,11172,12776,
1540,11092,12752,
1676,11052,12768,
1808,11084,12648,
1720,11024,12704,
1672,11000,12700,
1760,11072,12688,
1832,11116,12788,
1768,11140,12676,
1768,11156,12704,
1852,11008,12728,
1880,11008,12700,
1796,11040,12692,
1940,11136,12692,
1820,11160,12684,
1764,11088,12828,
1756,11064,12856,
1788,11092,12984,
1752,11116,12868,
1772,11088,12812,
1748,11020,12956,
1684,11024,12880,
1596,11060,12884,
1432,11104,12896,
1432,11120,12868,
1348,11088,12876,
1316,11076,12912,
1316,11076,12904,
1376,11008,12824,
1356,11044,12824,
1260,11084,12876,
1256,11060,13008,
