ax,ay,az,
2088,15856,6120,
1992,15900,6120,
2648,16292,3964,
2724,15844,4456,
3264,15632,2836,
3008,15812,2280,
2440,16932,416,
1496,16780,4172,
2036,15500,6912,
2148,15348,6376,
2668,15616,4080,
2980,15572,4140,
3272,15116,2644,
3272,15136,2108,
3096,16032,168,
2736,16032,2116,
1520,16800,6720,
1608,15212,6720,
2152,14828,6716,
2588,15132,4632,
2932,15520,3968,
3268,15044,3376,
3272,14848,2548,
3104,15572,404,
2184,16848,336,
1568,16012,5872,
2268,15020,7180,
2520,15116,5416,
2740,15640,3980,
2740,15500,3696,
3044,15148,3184,
3428,15148,1556,
3476,15436,120,
2840,16648,3228,
1776,16888,3228,
1832,15432,7564,
2356,15156,6264,
2720,15672,4412,
2908,15912,3856,
3308,15476,3588,
3384,15384,2688,
3100,16024,588,
2172,17024,584,
1520,16124,6244,
2188,15184,6924,
2352,15304,5112,
2352,15800,3768,
2748,15496,3900,
3020,15496,3136,
3248,15168,1464,
3224,15332,1464,
2644,16496,24,
1788,16840,2784,
1816,15400,7336,
2340,15124,6264,
2392,15524,4432,
2704,15692,3948,
3128,15268,3396,
3284,15216,2484,
2896,15872,760,
2064,16828,408,
1312,16204,5400,
1312,15040,7200,
1752,15208,5580,
2152,15208,3948,
2564,15736,3784,
2936,15468,2884,
3184,15220,2884,
3060,15460,1840,
2580,16444,512,
1548,17084,2180,
1324,15952,7092,
2048,15380,6648,
2348,15620,4840,
2736,15904,3944,
3160,15684,3188,
3216,15664,2260,
2816,16120,1044,
2816,17260,448,
2112,17092,4500,
1164,15796,7340,
1624,15796,5932,
2212,15768,4456,
2540,16120,4456,
2888,16084,3712,
3228,16024,2316,
3092,16220,1256,
2592,16956,660,
1632,17440,2536,
1212,16356,7140,
2028,15816,6832,
2348,16048,5312,
2752,16276,3948,
3144,16176,2776,
3136,16244,1612,
3136,16768,944,
2776,17504,1876,
1896,17504,6160,
912,17040,7452,
1628,15760,7452,
2280,16112,5596,
2496,16380,4560,
2896,16352,3176,
3204,16260,2084,
3108,16452,1288,
2376,17120,1264,
1268,17360,4192,
1212,16060,7800,
2196,15920,6188,
2396,16280,4892,
2668,16264,3732,
2668,16196,2484,
3048,16252,1748,
3152,16252,1200,
2716,16708,2588,
1648,17336,7012,
1004,16524,7012,
1876,15648,6744,
2364,15992,5300,
2564,16236,4348,
3088,16084,3404,
3256,15956,2272,
3128,16244,1556,
2376,16880,1668,
1332,17020,4824,
1396,15848,7652,
2420,15804,5740,
2584,16212,4728,
2584,16304,3756,
2760,16024,2708,
3196,16024,1956,
3324,15996,1336,
2896,16256,1336,
2040,17008,2284,
1240,16632,6328,
1892,15632,6960,
2540,16028,5240,
2588,16396,4284,
2920,16220,3648,
3284,16036,2516,
3200,16000,2084,
2704,16468,1704,
1864,17076,3152,
1140,16276,6988,
1140,15608,6240,
2000,16004,4760,
2572,16004,4088,
2528,16296,3788,
2760,15920,3788,
3264,15844,2188,
3304,15960,1816,
2876,16276,1748,
2048,16552,3160,
1296,16016,6664,
1772,15364,6776,
2536,15708,4804,
2564,16184,3736,
2688,16028,3868,
3256,15684,2544,
3280,15792,1660,
3280,15892,2500,
2872,16024,3628,
2172,16100,5312,
1624,16100,6928,
1504,15572,5368,
2112,15700,5368,
2716,16072,3980,
2712,16108,3872,
2756,15708,3472,
3044,15764,2404,
2864,15948,2524,
2388,15944,3688,
1840,16020,4660,
1668,15864,5808,
2056,15828,5732,
2464,16012,4676,
2652,15932,4756,
2652,15776,4164,
2748,15876,3288,
2740,15876,3112,
2432,16180,3616,
1892,16604,3616,
1552,16484,5296,
1716,16000,6608,
2040,16088,5984,
2192,16296,5052,
2664,16280,4252,
2928,16072,3816,
3060,16112,2924,
2780,16340,2344,
2096,16672,2920,
1664,16396,5224,
2044,15616,6248,
2044,15712,5560,
2228,15816,4160,
2356,15816,3860,
2552,15792,3420,
2684,15348,2628,
2780,15188,2628,
2496,15372,2164,
2008,15960,2036,
1564,15924,4360,
1812,15084,6032,
2060,15212,5476,
2252,15424,4104,
2556,15652,3812,
2724,15332,3596,
2908,15352,2724,
2548,15536,2180,
2548,16272,1796,
2152,16464,3836,
1612,15724,5764,
1812,15724,5548,
2168,15684,4108,
2280,15968,4108,
2604,16308,3508,
2772,15876,3612,
2956,15752,2956,
2752,15912,2528,
2332,16560,1772,
1732,16876,3360,
1788,16876,1618,
2052,15792,4212,
1960,15748,4272,
1952,15844,4232,
1976,15940,4204,
2012,15920,4332,
1964,15876,4352,
1964,15920,4276,
1892,15928,4452,
1952,15928,4476,
