ax,ay,az,label
3724,13052,10068,
3604,13108,10028,
3600,13008,9980,
3656,13048,9928,
3656,13144,9984,
3556,13156,9924,
3572,13076,9904,
3588,13052,9984,
3636,13024,9976,
3648,13024,10020,
3544,13024,9868,
3544,13104,9924,
3520,13048,10140,
3536,13060,10112,
3576,13060,10068,
3568,13144,9980,
3564,13096,9980,
3644,13100,10116,
3668,13084,10076,
3656,13112,9968,
3576,13120,9960,
3564,13088,9932,
3616,13020,9936,
3664,13036,9952,
3760,13112,9936,
3592,13092,9956,
3656,13060,9980,
3656,13180,9972,
3672,13196,9928,
3592,13196,9968,
3600,13188,10000,
3648,13124,10000,
3656,13148,10024,
3500,13152,9860,
3656,13088,9892,
3596,13140,10008,
3624,13096,10176,
3596,13148,9976,
3648,13208,10036,
3648,13180,10008,
3676,13116,10052,
3736,13136,9968,
3696,13136,9908,
3696,13056,9848,
3672,13108,9900,
3564,13108,9912,
3452,13132,9920,
3512,13084,9920,
3532,13144,9972,
3560,13056,9996,
3572,13116,9900,
3516,13176,9908,
3584,13168,9964,
3660,13156,9964,
3604,13156,9872,
3552,13176,10060,
3480,13116,10072,
3552,13076,10056,
3640,13104,10020,
3640,13168,10140,
3660,13136,9944,
3616,13136,9876,
3568,13144,10056,
3672,13112,10056,
3664,13140,10080,
3584,13120,9932,
3612,13104,9908,
3568,13152,9916,
3520,13188,9976,
3604,13112,9964,
3616,13052,9944,
3644,13056,9988,
3588,13124,9944,
3604,13172,10160,
3604,13160,10124,
3544,13120,10008,
3500,13144,10140,
3524,13144,9980,
3544,13160,10040,
3564,13176,10040,
3568,13024,10012,
3444,13120,10072,
3536,13164,10100,
3496,13048,10096,
3504,13104,10072,
3600,13096,9968,
3652,13096,9852,
3512,13040,9896,
3572,12988,9916,
3560,13096,10040,
3560,13116,9988,
3512,13100,10064,
3496,13100,10072,
3476,13196,10104,
3540,13144,10104,
3552,13060,10012,
3528,13020,9968,
3524,13128,10040,
3464,13112,10068,
3476,13100,10092,
3476,12988,10056,
3520,13032,10076,
3540,13064,10048,
3412,13156,9964,
3456,13116,9984,
3512,13048,9892,
3512,12996,9884,
3500,13096,9976,
3464,13096,9956,
3452,13104,10008,
3548,13088,10008,
3472,13076,10120,
3544,13096,10172,
3548,13056,10024,
3576,13052,10124,
3528,13116,9964,
3556,13052,10004,
3524,13012,9876,
3476,13052,9924,
3548,12984,10072,
3584,13020,9964,
3668,13200,10004,
3668,13124,10128,
3576,13068,9968,
3520,13068,9968,
3452,13036,10048,
3504,13088,10048,
3512,13056,9992,
3516,13048,9936,
3544,13116,9908,
3436,13092,10132,
3568,13056,10092,
3440,12996,9916,
3488,13228,9952,
3564,13164,9960,
3612,13076,10044,
3660,13088,9880,
3660,13136,10084,
3508,13196,10016,
3516,13080,10016,
3668,13080,9924,
3560,12992,10096,
3544,13000,10096,
3652,13056,10064,
3660,13060,10052,
3456,13064,10112,
3512,13092,10036,
3632,13120,9964,
3620,13044,9980,
3572,13096,10024,
3564,13128,10048,
3572,13172,10012,
3600,13180,10052,
3600,13060,10064,
3600,13104,10168,
3560,13104,10088,
3508,13128,10176,
3536,13076,10176,
3624,13064,10156,
3588,13052,10164,
3692,13064,9988,
3576,13112,10036,
3524,13136,10148,
3576,13060,10200,
3512,13004,9992,
3576,13052,10052,
3584,13016,10084,
3544,13076,10064,
3572,13084,10020,
3572,13084,9984,
3636,13108,10088,
3592,13108,10196,
3528,13060,10016,
3536,12992,10016,
3604,13024,9904,
3644,13052,9940,
3696,13044,10012,
3604,12988,9992,
3680,12988,9988,
3600,13064,10024,
3628,13008,10012,
3684,13100,10076,
3480,13060,10168,
3528,13028,10012,
3528,12996,9828,
3608,13036,9896,
3524,13116,9872,
3512,13116,9912,
3568,13120,10028,
3648,13060,10028,
3632,13048,10020,
3588,13036,9980,
3620,13076,10004,
3684,13204,9924,
3600,13124,9968,
3668,13084,10060,
3620,13160,10096,
3588,13156,10060,
3572,13096,10056,
3560,13100,10032,
3560,13060,10068,
3596,13088,10048,
3536,13088,10120,
3540,13044,10076,
3644,13036,10076,
3752,13044,9980,
3636,13068,10004,
3600,13032,9916,
3548,13076,10128,
3692,13076,10084,
3628,13092,9924,
3580,13056,10088,
3640,13024,10044,
3552,13008,10132,
3568,13024,10076,
3536,13000,10044,
3536,13004,10088,
3564,13096,10000,
3528,13096,9920,
3552,13044,9900,
3588,13032,9900,
3592,2,10060,
3316,13068,10024,
3372,13084,10096,
3372,13048,10120,
3372,13040,10000,
3288,13132,9936,
3340,13132,10096,
3368,13160,10208,
3348,13100,10208,
3364,13060,10208,
3448,13000,10048,
3324,13104,9916,
3340,13128,9936,
3212,13128,10156,
3236,13112,10088,
3288,13132,10192,
3264,13152,10244,
3236,13076,10052,
3296,13044,10192,
3348,13052,10136,
3348,13104,10176,
3296,13104,10188,
3280,13104,10120,
3308,13196,10048,
3220,13112,10048,
3292,13124,10032,
3360,13100,10092,
3232,13132,10040,
3276,13040,10160,
3276,13072,10052,
3152,13068,10036,
3200,13072,9968,
3256,13096,10096,
3312,13112,10264,
3272,13100,10332,
3272,13132,10272,
3308,13028,10076,
3148,13028,9912,
3052,12856,10336,
3284,12980,10336,
3244,12936,10220,
3340,13056,10392,
3440,13132,10568,
3296,13036,10160,
3032,12868,9868,
3008,12864,10032,
3156,12960,10268,
3300,13104,10308,
3388,13092,10328,
3260,13036,10360,
3240,13000,10352,
3240,13040,10312,
3148,13056,10252,
3288,13056,10412,
3340,13136,10412,
3256,13120,10412,
3300,13060,10284,
3160,12936,10224,
3124,12948,10244,
3176,13100,10220,
3232,13016,10216,
3156,13068,10316,
3136,12932,10292,
3228,12968,10244,
3224,13048,10300,
3284,13100,10212,
3284,13064,10264,
3292,13080,10264,
3272,13080,10400,
3208,13048,10356,
3236,13052,10356,
3236,13064,10448,
3292,13036,10428,
3172,13044,10392,
3212,13020,10296,
3180,13008,10352,
3172,12992,10388,
3264,12940,10384,
3192,12932,10208,
3144,13012,10072,
3176,13032,10176,
3172,13088,10320,
3172,13060,10324,
3168,13048,10292,
3224,13048,10480,
3248,13064,10424,
3212,13148,10424,
3372,13128,10404,
3268,13292,10496,
3212,13228,10356,
3180,13148,10096,
3212,13132,10272,
3180,13096,10420,
3228,13092,10400,
3200,13000,10364,
3176,13056,10416,
3268,13072,10364,
3268,12836,10368,
3200,13008,10352,
3180,13008,10320,
3188,13004,10288,
3164,12904,10324,
3232,12912,10324,
3168,12948,10448,
3180,13020,10452,
3164,12968,10384,
3200,12960,10412,
3244,12916,10344,
3236,12964,10296,
3244,13004,10360,
3292,12948,10300,
3372,12980,10332,
3328,13104,10340,
3328,13100,10176,
3352,13076,10228,
3320,13076,10280,
3256,13152,10480,
3308,13208,10480,
3268,13308,10268,
3264,13232,10200,
3272,13176,10276,
3176,13172,10300,
3356,13060,10328,
3376,13140,10196,
3436,13180,10316,
3288,13140,10252,
3312,13128,10332,
3232,13084,10264,
3232,13072,10020,
3296,13096,10076,
3308,13096,10244,
3300,13124,10092,
3328,13056,10020,
3384,13104,10020,
3504,13124,10116,
3476,13144,10212,
3468,13160,10092,
3464,13148,10180,
3464,13188,10260,
3516,13184,10224,
3576,13248,10284,
3548,13248,10508,
3468,13260,10384,
3464,13252,10520,
3464,13228,10740,
3540,13244,10624,
3472,13244,10472,
3484,13284,10476,
3468,13304,10476,
3476,13324,10444,
3588,13324,10356,
3472,13340,10408,
3508,13328,10392,
3548,13288,10404,
3544,13216,10416,
3444,13196,10468,
3520,13220,10344,
3588,13104,10336,
3440,13236,10356,
3440,13224,10372,
3456,13132,10380,
3492,13132,10488,
3456,13140,10428,
3484,13168,10320,
3440,13132,10320,
3308,13124,10436,
3396,13124,10596,
3372,13116,10448,
3260,13124,10512,
3312,13140,10492,
3388,13200,10432,
3300,13188,10608,
3304,13248,10648,
3244,13204,10500,
3280,13208,10420,
3280,13276,10400,
3376,13216,10404,
3208,13216,10328,
3220,13212,10476,
3284,13244,10476,
3328,13148,10508,
3236,13156,10476,
3204,13164,10536,
3240,13220,10488,
3240,13208,10348,
3164,13152,10448,
3220,13088,10568,
3200,13168,10560,
3132,13160,10604,
3088,13088,10520,
3088,13072,10508,
3120,13060,10488,
3104,13060,10472,
3080,13048,10524,
3096,13152,10600,
3128,13224,10600,
3076,13140,10588,
3152,13160,10556,
3176,13152,10504,
3228,13116,10616,
3236,13084,10572,
3212,13096,10512,
3208,13092,10508,
3328,13084,10452,
3260,13136,10448,
3300,13180,10476,
3300,13160,10460,
3360,13108,10340,
3388,13108,10536,
3332,13124,10548,
3356,13064,10548,
3304,13076,10532,
3380,13092,10580,
3420,13076,10560,
3344,13140,10536,
3392,13108,10440,
3360,13096,10496,
